"","host_id","group","infector_id","infector_group","exposure_time","infectious_time","recovery_time"
"1",7487,1,NA,NA,0,0,5
"2",8851,1,NA,NA,0,0,5
"3",3592,1,NA,NA,0,0,4
"4",3854,1,NA,NA,0,0,3
"5",10986,1,NA,NA,0,0,6
"6",5221,1,NA,NA,0,0,6
"7",5484,1,10986,1,1,3,9
"8",8519,1,NA,NA,0,0,7
"9",8157,1,NA,NA,0,0,5
"10",2554,1,9814,1,2,3,7
"11",4517,1,9814,1,3,5,10
"12",9814,1,8157,1,1,2,9
"13",54,1,5484,1,5,6,10
"14",5630,1,2554,1,4,7,11
"15",10681,1,3592,1,1,5,9
"16",1878,1,54,1,7,9,13
"17",1753,1,10681,1,8,9,14
"18",3781,1,5221,1,3,6,12
"19",5255,1,10681,1,8,10,14
"20",3467,1,2803,1,10,11,15
"21",6044,1,9515,1,9,11,15
"22",9515,1,2554,1,5,8,14
"23",2803,1,10681,1,8,9,17
"24",4232,1,9515,1,9,11,16
"25",8019,1,9515,1,10,12,17
"26",3069,1,5255,1,11,12,18
"27",5111,1,9814,1,6,9,15
"28",9353,1,9515,1,9,10,15
"29",3161,1,9353,1,11,13,18
"30",4565,1,5630,1,9,11,17
"31",2537,1,5255,1,11,12,17
"32",2678,1,9353,1,11,12,17
"33",2998,1,3069,1,12,13,18
"34",9050,1,6044,1,12,13,18
"35",9737,1,1753,1,11,15,20
"36",10595,1,9515,1,9,11,17
"37",10566,1,3069,1,16,17,22
"38",1578,1,3161,1,14,16,21
"39",4262,1,9050,1,16,18,22
"40",7815,1,2998,1,14,16,21
"41",8214,1,6044,1,13,15,20
"42",10257,1,7815,1,17,18,23
"43",1504,1,8214,1,16,19,25
"44",1664,1,8019,1,13,16,22
"45",9003,1,2998,1,14,15,25
"46",1099,1,10566,1,18,19,25
"47",6441,1,9737,1,17,19,24
"48",10099,1,6044,1,14,16,21
"49",719,1,10566,1,18,20,27
"50",7350,1,10566,1,19,21,25
"51",2267,1,10566,1,19,21,26
"52",2985,1,10566,1,19,21,25
"53",765,1,10566,1,19,21,25
"54",1510,1,719,1,21,23,27
"55",6242,1,9003,1,16,19,24
"56",10481,1,10566,1,19,20,26
"57",4158,1,10566,1,19,22,27
"58",4724,1,10481,1,22,24,31
"59",2637,1,4158,1,23,24,29
"60",7920,1,1504,1,22,23,28
"61",8845,1,6441,1,21,25,31
"62",10987,1,4262,1,19,21,27
"63",3962,1,10257,1,20,21,27
"64",10702,1,4158,1,24,25,31
"65",2094,1,10987,1,23,25,29
"66",2224,1,4724,1,25,27,31
"67",3325,1,2026,1,26,27,34
"68",8767,1,4724,1,25,27,33
"69",2633,1,719,1,22,25,30
"70",3252,1,3962,1,22,23,30
"71",8294,1,4158,1,23,26,31
"72",10492,1,1510,1,24,25,32
"73",706,1,8294,1,27,29,33
"74",2338,1,2637,1,25,28,32
"75",3332,1,4724,1,26,27,32
"76",4314,1,1510,1,24,26,35
"77",4907,1,10492,1,26,28,33
"78",7848,1,8294,1,27,30,36
"79",2219,1,706,1,30,31,37
"80",2738,1,10492,1,26,29,35
"81",3532,1,9168,1,29,31,35
"82",9168,1,2637,1,25,27,35
"83",9962,1,7920,1,25,28,32
"84",1449,1,8845,1,26,29,34
"85",2026,1,4158,1,22,25,34
"86",7672,1,2637,1,25,29,36
"87",2493,1,10671,1,30,32,35
"88",5169,1,9962,1,31,33,36
"89",6168,1,4907,1,29,31,36
"90",7273,1,4907,1,29,31,37
"91",7552,1,8294,1,28,32,38
"92",8411,1,8294,1,27,29,34
"93",10671,1,3962,1,25,27,35
"94",2279,1,2493,1,33,34,41
"95",3925,1,3325,1,28,30,35
"96",6944,1,7672,1,31,33,38
"97",8226,1,3332,1,29,31,35
"98",9042,1,8294,1,28,30,35
"99",121,1,7169,1,31,34,39
"100",2314,1,9042,1,31,35,40
"101",3891,1,7672,1,30,32,38
"102",4804,1,706,1,30,31,38
"103",7169,1,2224,1,28,30,36
"104",7540,1,5547,1,34,35,40
"105",9758,1,8226,1,31,32,39
"106",10795,1,3891,1,33,34,38
"107",135,1,3891,1,32,33,39
"108",1579,1,2493,1,33,36,40
"109",4363,1,4333,1,34,36,43
"110",4819,1,7848,1,31,32,37
"111",5064,1,3325,1,30,34,39
"112",6431,1,4819,1,33,36,42
"113",10013,1,9758,1,34,35,40
"114",3018,1,4333,1,34,37,42
"115",5547,1,4804,1,31,33,39
"116",6275,1,2219,1,32,34,39
"117",9322,1,9758,1,33,35,41
"118",9985,1,6944,1,34,35,40
"119",1793,1,7540,1,36,37,42
"120",3636,1,7169,1,32,34,39
"121",4333,1,2219,1,32,33,40
"122",4540,1,9758,1,33,35,42
"123",5341,1,3891,1,34,36,41
"124",7859,1,7540,1,36,37,44
"125",8121,1,121,1,34,36,40
"126",2789,1,5373,1,36,38,43
"127",3924,1,3018,1,38,39,44
"128",4711,1,6168,1,32,34,40
"129",5373,1,2493,1,34,36,42
"130",6127,1,7552,1,32,36,42
"131",7301,1,4711,1,35,37,42
"132",7904,1,4333,1,34,38,43
"133",8856,1,5169,1,34,36,42
"134",403,1,10013,1,36,38,42
"135",647,1,4819,1,34,35,41
"136",676,1,7301,1,39,40,44
"137",1904,1,3925,1,32,35,41
"138",4747,1,7904,1,38,40,45
"139",9411,1,3018,1,39,40,45
"140",9766,1,403,1,38,39,47
"141",1013,1,1793,1,38,41,44
"142",1052,1,4819,1,36,38,43
"143",1885,1,6275,1,37,40,45
"144",6060,1,445,1,40,41,44
"145",6868,1,7774,1,40,41,45
"146",7584,1,445,1,39,41,46
"147",7774,1,7301,1,37,38,44
"148",8008,1,3018,1,37,40,45
"149",8234,1,7301,1,39,41,48
"150",9510,1,1579,1,37,41,46
"151",9628,1,7540,1,36,38,45
"152",10972,1,5341,1,37,39,43
"153",445,1,5341,1,37,39,45
"154",709,1,7301,1,38,39,43
"155",2991,1,6127,1,37,40,45
"156",5606,1,7859,1,38,40,45
"157",6494,1,4333,1,37,38,44
"158",9261,1,10534,1,39,41,47
"159",81,1,10534,1,40,41,46
"160",4358,1,5341,1,38,40,45
"161",5023,1,7301,1,38,39,44
"162",6099,1,1052,1,39,41,45
"163",9903,1,10534,1,40,42,47
"164",10142,1,2314,1,37,39,45
"165",17,1,445,1,40,41,45
"166",1029,1,3924,1,42,43,48
"167",1689,1,10534,1,41,44,48
"168",2292,1,4681,1,42,43,47
"169",2429,1,17,1,41,42,47
"170",2970,1,3018,1,40,42,46
"171",3560,1,1793,1,38,41,47
"172",4716,1,2429,1,43,44,50
"173",4881,1,1793,1,38,40,45
"174",5437,1,9766,1,40,42,47
"175",7003,1,8234,1,42,44,51
"176",8272,1,7859,1,38,40,47
"177",10610,1,17,1,42,43,50
"178",5,1,1029,1,44,45,49
"179",2560,1,9628,1,41,44,49
"180",3199,1,10386,1,43,44,50
"181",4020,1,3936,1,43,45,50
"182",4681,1,9367,1,40,42,47
"183",4998,1,9628,1,40,42,46
"184",6458,1,3018,1,39,43,47
"185",6926,1,9367,1,41,43,49
"186",7772,1,10972,1,39,40,47
"187",8171,1,9411,1,43,44,48
"188",8345,1,4747,1,40,42,47
"189",9367,1,7859,1,39,40,46
"190",11000,1,4681,1,44,45,50
"191",330,1,2131,1,44,46,49
"192",1401,1,709,1,40,42,47
"193",1536,1,2991,1,41,43,48
"194",2131,1,10142,1,40,43,48
"195",3109,1,7584,1,42,45,51
"196",3936,1,9628,1,39,42,49
"197",4687,1,1029,1,44,46,51
"198",4874,1,2970,1,43,45,50
"199",5367,1,4998,1,44,45,48
"200",5934,1,2292,1,44,45,48
"201",7664,1,3018,1,41,43,47
