"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,20,1.01760354609,0.282232443347807,0.541831030824,0.601918625961561,0.815782669352778,0.991633447142528,1.19116621937953,1.52190980732479,1.64081409820708
3,21,1.11710588827059,0.288435500081483,0.625235685549168,0.688608682424402,0.911469321774062,1.09238178485848,1.29583324261443,1.62996815245465,1.74935960456319
4,22,1.10299711756767,0.284792631150291,0.617339113688504,0.679911725308358,0.899957689977393,1.0785852734584,1.27946718969031,1.60938205837214,1.72726562600942
5,23,1.03249558065186,0.275946051154105,0.564474941778416,0.624212720471182,0.835479039288685,1.00801913711905,1.202875571283,1.52430044493372,1.63948468154573
6,24,1.09155679421303,0.281838752361774,0.610936051552098,0.672859657930983,0.890623298422917,1.06739815057532,1.26619651278774,1.59268949330948,1.70935036860197
7,25,1.08968631651387,0.281355797096554,0.60988915938295,0.671706654265486,0.889097137780717,1.06556907081752,1.26402677471045,1.58996028105528,1.70642124777062
8,26,1.01594564879306,0.271522895811956,0.555426940026646,0.614207178381915,0.822087097057848,0.991861539600666,1.18359460862088,1.49986734423215,1.61320528600003
9,27,1.2222921389396,0.296449387894712,0.712030213807392,0.77882588266862,1.01148555923213,1.19841097239002,1.40710195463281,1.74724386961465,1.86816551232855
10,28,1.36700396742738,0.313612218391323,0.823025687160419,0.895168316239565,1.14449044801286,1.34309768437991,1.56348945415184,1.92040820597158,2.04674742895441
11,29,1.39433981424445,0.311783860838503,0.851698982471294,0.924074422375675,1.17334723425819,1.37117093566664,1.59010559890021,1.94365669100691,2.06856262287395
12,30,1.21904623565301,0.279668386774481,0.733945467376221,0.79827973596986,1.02061647634905,1.19772745015429,1.39426510747726,1.71255274321737,1.82521763509943
13,31,1.23268224028918,0.26899331780728,0.763049735224358,0.826015952009052,1.04220084330075,1.2131720329404,1.4019192574189,1.70591592816916,1.81312166056988
14,32,1.27951764792878,0.266797872633556,0.811104430485976,0.874494549497572,1.09091980660335,1.26102245274838,1.4479743203896,1.74764365497963,1.8529787871828
15,33,1.38804107261273,0.272217250573868,0.906714512426876,0.97261888420103,1.19605106475318,1.3702868049083,1.56069443306575,1.86403666809591,1.9702138837746
16,34,1.35506954654654,0.260783255823103,0.892999369706514,0.956483820851721,1.1712700667275,1.33837750805537,1.52068865634319,1.81060418358004,1.9119541510943
17,35,1.24361082934344,0.239333015696189,0.819547372748624,0.877810028816949,1.0749294327958,1.22829176333362,1.39560724828315,1.66167631476422,1.7546899298038
18,36,1.14364455589958,0.220094497401958,0.753668968643994,0.807248245900665,0.988522425815613,1.12955689597398,1.28342291174456,1.52810431222336,1.61364113126242
19,37,1.20129059324578,0.21932465201316,0.810505718700197,0.864688137204461,1.04700116578349,1.18796960752114,1.34106998584069,1.58333993348063,1.66774522115323
20,38,1.24185048912488,0.219530225520008,0.849424815253828,0.90412352881504,1.08758955348298,1.22893877600692,1.3820464899538,1.62362755439062,1.70762302792796
21,39,1.15751718086709,0.207896222870815,0.786476765367458,0.838061548515604,1.01135108818007,1.14509483297468,1.2901517400779,1.51935360125091,1.59912362894104
22,40,1.13073898637359,0.199888301254193,0.773424629624723,0.823229311001247,0.990280166626551,1.11898251687006,1.25839129658256,1.47835749244954,1.55483767862277
23,41,1.21986844042031,0.203311406736718,0.854380858652345,0.905791843516215,1.07728813323635,1.20859214398879,1.35016427395311,1.57241500069928,1.64941554241111
24,42,1.31872936899172,0.208509421168523,0.942119595157942,0.995500202349918,1.17275441126382,1.30775638710591,1.45274948996497,1.67939318019559,1.75767779801588
25,43,1.35316762053464,0.206356127551905,0.979294116551392,1.03254994307239,1.20886518056383,1.34269252808973,1.48605718744309,1.7095210559426,1.78655255503632
26,44,1.39935801214222,0.201979931250743,1.03177613118455,1.0845102590735,1.25835350522728,1.38965233682252,1.52978733248398,1.74731624302567,1.82208180442634
27,45,1.44201055991605,0.196232781972189,1.08328271375634,1.1351146881387,1.30525526021081,1.43311909454078,1.56907729084703,1.77923890514228,1.85125595883912
28,46,1.33747911419953,0.180345646968156,1.00757230821676,1.0552908123868,1.21182868962278,1.32938197190483,1.45430643179261,1.64729007606561,1.7133906631614
