"scenario_number","dist_seq_estim2","dist_epi_estim2","proportion_seq_greater"
"001",37.2189276624982,18.6953748397683,1
"002",37.2408003461255,23.6459986676898,1
"004",35.3735231683272,27.5227050209427,1
"007",31.2507931998682,23.3308129924503,1
"008",31.3025177741583,31.1345477841377,1
"009",43.4674113974437,46.5298393511021,0
"010",31.7469379767913,22.881657448357,1
"012",55.5082058241478,42.167274451456,1
"013",23.1570658745982,19.0599772240905,1
"014",37.5574127449109,28.9944962250546,1
"015",31.6381736641419,33.3343257401433,0
"016",39.4786468654876,28.5229933651506,1
"017",44.4151637652091,36.9348992862555,1
"018",41.0050563491372,33.0833946777194,1
"019",30.9248116035108,16.3207361891141,1
"020",20.5989539528759,21.8699108051927,0
