"infectious_time","incidence"
0,6
1,0
2,0
3,2
4,4
5,0
6,3
7,4
8,5
9,3
10,4
11,4
12,6
13,4
14,4
15,6
16,6
17,9
18,7
19,6
20,8
21,9
22,10
23,7
24,9
25,16
26,10
27,15
28,8
29,11
30,8
31,10
32,4
33,10
34,9
35,6
36,8
37,4
38,10
39,7
40,8
41,8
42,5
43,14
44,10
45,4
46,6
47,13
48,5
49,10
50,13
51,19
52,11
53,18
54,32
55,28
56,23
57,20
58,17
59,27
60,20
61,20
62,15
63,27
64,12
65,16
66,22
67,13
68,11
69,21
70,13
71,14
72,18
73,16
74,16
75,19
76,26
77,15
78,27
79,19
80,23
81,25
82,23
83,15
84,18
85,18
86,16
87,15
88,19
89,17
90,22
91,17
92,24
93,17
94,16
95,18
96,12
97,10
98,19
99,20
100,14
101,31
102,21
103,16
104,16
105,22
106,16
107,16
108,11
109,14
110,20
111,11
112,18
113,21
114,10
115,22
116,12
117,12
118,12
119,11
120,12
121,7
122,9
123,10
124,11
125,7
126,5
127,2
128,4
129,3
130,7
131,6
132,3
133,5
134,3
135,5
136,4
137,5
138,3
139,2
140,5
141,2
142,2
143,4
144,3
145,3
146,3
147,2
148,1
149,0
150,2
151,1
152,1
153,0
154,0
155,0
156,0
157,0
158,2
159,1
160,0
161,0
162,0
163,0
164,0
165,1
