"infectious_time","incidence"
0,9
1,0
2,0
3,1
4,3
5,0
6,2
7,0
8,2
9,0
10,2
11,1
12,2
13,0
14,2
15,2
16,1
17,1
18,3
19,2
20,2
21,3
22,3
23,2
24,3
25,4
26,2
27,5
28,4
29,4
30,3
31,3
32,8
33,7
34,2
35,3
36,9
37,6
38,9
39,12
40,10
41,10
42,12
43,16
44,13
45,16
46,13
47,18
48,18
49,15
50,22
51,11
52,15
53,33
54,23
55,23
56,28
57,28
58,26
59,32
60,22
61,27
62,29
63,38
64,29
65,37
66,35
67,47
68,40
69,54
70,42
71,59
72,49
73,44
74,61
75,55
76,50
77,62
78,65
79,61
80,55
81,57
82,56
83,71
84,59
85,49
86,70
87,83
88,57
89,63
90,79
91,72
92,58
93,81
94,71
95,75
96,68
97,72
98,72
99,89
100,69
101,73
102,78
103,67
104,83
105,91
106,58
107,72
108,66
109,69
110,75
111,66
112,76
113,65
114,66
115,59
116,85
117,67
118,55
119,54
120,76
121,59
122,57
123,43
124,50
125,65
126,58
127,40
128,43
129,46
130,37
131,46
132,62
133,36
134,43
135,39
136,41
137,24
138,49
139,47
140,41
141,35
142,43
143,30
144,30
145,26
146,30
147,24
148,25
149,20
150,16
151,13
152,13
153,13
154,7
155,15
156,6
157,13
158,7
159,6
160,7
161,8
162,5
163,11
164,7
165,5
166,5
167,5
168,6
169,7
170,6
171,5
172,6
173,5
174,0
175,9
176,5
177,3
178,0
179,6
180,6
181,1
182,3
183,1
184,3
185,0
186,3
187,2
188,1
189,1
190,2
191,3
192,2
193,0
194,4
195,0
196,1
197,2
198,0
199,2
200,0
201,1
202,1
203,0
204,0
205,0
206,1
