"infectious_time","incidence"
0,5
1,0
2,0
3,1
4,0
5,1
6,1
7,1
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,2
16,0
17,0
18,2
19,2
20,2
21,0
22,0
23,1
24,1
25,0
26,4
27,2
28,1
29,0
30,2
31,2
32,3
33,2
34,2
35,0
36,3
37,4
38,1
39,3
40,4
41,4
42,4
43,6
44,6
45,5
46,1
47,8
48,6
49,5
50,9
51,3
52,6
53,13
54,7
55,8
56,16
57,10
58,9
59,14
60,17
61,16
62,19
63,21
64,17
65,18
66,20
67,17
68,14
69,22
70,21
71,19
72,19
73,19
74,28
75,22
76,12
77,27
78,17
79,18
80,12
81,22
82,23
83,33
84,37
85,23
86,34
87,20
88,30
89,22
90,26
91,21
92,10
93,28
94,19
95,18
96,26
97,25
98,29
99,25
100,33
101,24
102,36
103,16
104,21
105,26
106,25
107,24
108,21
109,29
110,26
111,19
112,25
113,23
114,30
115,21
116,20
117,19
118,22
119,26
120,23
121,26
122,21
123,30
124,39
125,30
126,19
127,22
128,31
129,24
130,17
131,31
132,19
133,20
134,15
135,26
136,17
137,24
138,25
139,21
140,25
141,21
142,25
143,22
144,22
145,19
146,20
147,23
148,20
149,20
150,19
151,9
152,13
153,11
154,17
155,12
156,16
157,11
158,14
159,8
160,7
161,13
162,10
163,10
164,6
165,12
166,13
167,12
168,6
169,5
170,8
171,7
172,5
173,5
174,4
175,9
176,4
177,7
178,3
179,3
180,4
181,6
182,3
183,6
184,1
185,0
186,1
187,1
188,1
189,4
190,0
191,1
192,4
193,0
194,1
195,3
196,2
197,0
198,0
199,1
200,1
201,0
202,0
203,1
204,1
205,2
206,1
207,1
