"infectious_time","incidence"
0,5
1,0
2,0
3,1
4,0
5,2
6,1
7,1
8,0
9,2
10,1
11,2
12,3
13,0
14,1
15,3
16,1
17,2
18,5
19,6
20,3
21,1
22,2
23,1
24,2
25,5
26,2
27,4
28,5
29,0
30,2
31,3
32,4
33,4
34,4
35,2
36,6
37,1
38,0
39,2
40,2
41,2
42,2
43,3
44,3
45,6
46,2
47,3
48,3
49,3
50,3
51,3
52,6
53,1
54,2
55,4
56,2
57,4
58,3
59,4
60,2
61,2
62,7
63,2
64,3
65,4
66,1
67,4
68,2
69,0
70,3
71,4
72,2
73,5
74,4
75,3
76,3
77,3
78,5
79,6
80,2
81,1
82,2
83,4
84,1
85,1
86,3
87,6
88,5
89,1
90,1
91,2
92,4
93,6
94,2
95,8
96,2
97,5
98,1
99,3
100,4
101,0
102,0
103,1
104,3
105,3
106,4
107,8
108,3
109,4
110,2
111,2
112,3
113,7
114,6
115,4
116,3
117,2
118,5
119,3
120,7
121,4
122,3
123,3
124,2
125,0
126,7
127,2
128,7
129,8
130,2
131,3
132,2
133,11
134,1
135,1
136,1
137,3
138,6
139,3
140,3
141,3
142,7
143,2
144,1
145,4
146,4
147,5
148,1
149,3
150,3
151,2
152,2
153,3
154,1
155,4
156,3
157,7
158,8
159,3
160,1
161,3
162,3
163,1
164,3
165,1
166,2
167,0
168,3
169,2
170,2
171,0
172,2
173,1
174,1
175,1
176,1
177,2
178,1
179,1
180,0
181,1
