"infectious_time","incidence"
0,7
1,0
2,0
3,1
4,2
5,3
6,1
7,1
8,3
9,1
10,2
11,4
12,3
13,4
14,2
15,3
16,8
17,1
18,4
19,6
20,7
21,2
22,4
23,2
24,6
25,3
26,10
27,4
28,7
29,9
30,6
31,9
32,14
33,5
34,6
35,8
36,7
37,8
38,6
39,9
40,7
41,8
42,10
43,15
44,8
45,6
46,5
47,6
48,3
49,5
50,7
51,8
52,7
53,4
54,3
55,3
56,7
57,8
58,5
59,8
60,9
61,8
62,9
63,5
64,8
65,7
66,8
67,8
68,14
69,10
70,8
71,13
72,9
73,10
74,9
75,7
76,8
77,11
78,11
79,5
80,10
81,6
82,4
83,7
84,8
85,5
86,11
87,8
88,10
89,6
90,9
91,11
92,6
93,13
94,9
95,6
96,6
97,5
98,6
99,6
100,8
101,7
102,7
103,8
104,6
105,6
106,7
107,12
108,8
109,5
110,9
111,6
112,10
113,8
114,10
115,6
116,16
117,6
118,6
119,6
120,8
121,8
122,11
123,5
124,3
125,6
126,10
127,19
128,7
129,10
130,4
131,13
132,5
133,10
134,4
135,4
136,9
137,5
138,5
139,1
140,7
141,4
142,2
143,8
144,5
145,4
146,5
147,5
148,5
149,3
150,5
151,1
152,3
153,1
154,2
155,1
156,2
157,2
158,1
159,1
160,1
161,2
162,3
163,1
164,2
165,0
166,1
167,2
