"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,9,1.20839274595999,0.257630199077593,0.757293300422757,0.818067527840068,1.02612128096281,1.19013390354656,1.37078138065682,1.66101510489373,1.7631950072782
3,10,1.29095713932452,0.243967967421146,0.857831643774985,0.917531134140858,1.11912163904675,1.2756215533252,1.4460891363524,1.71670383441059,1.81119361485091
4,11,1.15850091627289,0.22295360528886,0.76345940374255,0.817734695374806,1.00136369307759,1.14423025250086,1.30009504399918,1.54795494521355,1.63460291876497
5,12,1.2031011593095,0.223410276639181,0.805735728338246,0.860672733305074,1.04584357686557,1.18930102510665,1.34532720493245,1.59261144803955,1.67885697289814
6,13,1.11268492665989,0.210277685965158,0.739371053123987,0.790826458602546,0.964578715229677,1.09946707855079,1.24639427259982,1.47963896081582,1.5610803589976
7,14,1.03034951032924,0.198290855715995,0.679006819721061,0.727278270671816,0.890594540178109,1.01765744317327,1.15628073586304,1.37672279530318,1.45378591701995
8,15,1.11470421571319,0.20351621463074,0.752086253379917,0.802363322611809,0.971535630027775,1.10234337727143,1.24440861785487,1.46921628179003,1.54753782241153
9,16,1.33230285496539,0.222050475827564,0.933128540335132,0.989278039445967,1.17658102134079,1.31998723023788,1.47460796365893,1.71734338327519,1.80144101065639
10,17,1.38245312847949,0.224263511148612,0.978306113145692,1.03538129927672,1.22531890378399,1.37034543990853,1.52639669284914,1.77083096790801,1.8553840187157
11,18,1.25332738585569,0.206045752996747,0.882458143709025,0.934732090801852,1.10889479964637,1.24205441105917,1.38547889587903,1.61038116302551,1.68823789934595
12,19,1.2010343736345,0.192319416906542,0.854052848137779,0.903146199563584,1.06633906223195,1.1907848666328,1.3245632306861,1.53388915272198,1.60624393669207
13,20,1.23898324133647,0.188943172969868,0.896658315151811,0.945420253851592,1.1068574779834,1.22939206889505,1.36065918439737,1.56526649535691,1.63579784342038
14,21,1.32501692635801,0.191249719778401,0.976962883100109,1.02689550323256,1.191503303158,1.3158268663671,1.44851717121788,1.65448982863578,1.72528345936141
15,22,1.33544445160975,0.186999626891483,0.99432611035991,1.0434466338297,1.20501539069173,1.32672627115139,1.45637401035573,1.65718376391726,1.726095121546
16,23,1.23779232388252,0.173325593929544,0.921617687172152,0.967146355042016,1.11690066850822,1.22971164569589,1.34987911219172,1.53600499052353,1.59987732111606
17,24,1.11849578576672,0.158179190968844,0.83016913092185,0.871637783741259,1.00813626443866,1.11104804933259,1.22074018190234,1.39076129835706,1.44913653051249
18,25,1.20097278946634,0.159072731960283,0.909605062566701,0.951835317763671,1.09019983805917,1.19395690522367,1.30410071785068,1.47404422923787,1.53220230700346
19,26,1.18426301361045,0.155501351884893,0.89926055707891,0.940608687448904,1.07600353444284,1.17746390205308,1.28511362776057,1.45111177376605,1.50789578423345
20,27,1.14067172473544,0.149777535238959,0.866159863848597,0.905986019560356,1.03639714602965,1.13412288024931,1.23781014978221,1.39769810484861,1.45239196458487
21,28,1.14243094702815,0.146273293996268,0.873869152012368,0.91294060174561,1.04066730170216,1.13619425595955,1.23739844907503,1.39319699616861,1.44642795287424
22,29,1.08230324356396,0.139724747928983,0.825911394584221,0.863178659119383,0.98507330611227,1.07629642251702,1.172987570501,1.32191938758553,1.37282412397376
23,30,1.01539953470016,0.1333284908289,0.771035437852904,0.806487758710595,0.922576721262338,1.00956990510573,1.10186990952852,1.24419846178245,1.29288566820903
24,31,0.977250054938661,0.129439931870985,0.740159648213834,0.774523057254642,0.88711239836738,0.971541121878951,1.06116683853547,1.19945249104672,1.24677661461558
25,32,0.957948283622215,0.128011223984374,0.723623838628284,0.757552193777521,0.868783195038418,0.952252283843534,1.04090663866311,1.17777572285877,1.22463526925682
26,33,0.865602805409503,0.122414722703832,0.642467086451946,0.674559636709011,0.780195678730225,0.859839009395818,0.944729644561366,1.07630882193053,1.12148535756274
27,34,0.846957163554585,0.12224773659258,0.624479352609425,0.656396522477185,0.76161461633733,0.841082833206075,0.925899111392431,1.05755782021811,1.10280944794027
28,35,0.97111107096405,0.133392364364437,0.727428831119558,0.762599431443584,0.878124375829735,0.965010330204199,1.05745016066336,1.20043490331308,1.24945498904861
29,36,1.00320649557563,0.139119709987556,0.749242595043156,0.785855699891057,0.906200450013024,0.996783064804236,1.0932133806828,1.24247035661644,1.29366528464633
30,37,1.08789386120028,0.146691578319166,0.819550538910982,0.858364354544517,0.985690900344275,1.081307716189,1.18292018369061,1.33989139893258,1.39365704069834
31,38,1.28063451539264,0.158843162222505,0.988366682406082,1.03103127504265,1.1702212631177,1.27407317991093,1.38389768641739,1.55262082707347,1.6101825833045
32,39,1.27217842830602,0.156594339531932,0.983902704289125,1.02601803694428,1.16335060368643,1.26575908561008,1.37401086657473,1.54023747617358,1.59692772055743
33,40,1.14292522898734,0.143995043954384,0.878255127333293,0.916827322477811,1.04279076221353,1.13688372672026,1.23647616873199,1.38963292122236,1.44192175958772
34,41,1.14632534590703,0.139012367132276,0.890166485334607,0.927647248505017,1.0497546851161,1.14071102728294,1.23677781882389,1.38415583273748,1.43438395232564
35,42,1.13083210408732,0.135160288315898,0.881539102271979,0.918068764606596,1.03697317055455,1.12545177176919,1.21882777701397,1.36194958453572,1.4106955396415
36,43,1.19446446565371,0.137014470985127,0.941102142377058,0.978377872457847,1.09941841764502,1.18922969095977,1.28380572255371,1.42840854895184,1.4775706094845
37,44,1.18555495093742,0.134237664366287,0.93713199130176,0.973726091019458,1.09246557839557,1.18049234399772,1.2731271143325,1.4146539515056,1.46274360344408
38,45,1.11858832645508,0.127474970503843,0.882772414470046,0.91748824651571,1.03017434472999,1.11374969713161,1.20172920984134,1.33619450336722,1.38189723380436
39,46,1.01067696720406,0.11829079168627,0.792209406712272,0.824288729936425,0.928577288612113,1.00606576893354,1.08775148501858,1.21279552011033,1.25534502619626
40,47,1.04699298810539,0.118548611534216,0.827604509640289,0.859921666917701,0.964783453877231,1.04252207432513,1.12433013806657,1.24931599893434,1.29178516355654
41,48,1.14911379171207,0.123912126886631,0.919142707420558,0.953170533669647,1.06328778251606,1.14466294435836,1.23008914742048,1.36024019266129,1.40437494062348
42,49,1.07820100569661,0.119800111744068,0.856247232101458,0.888999798104686,0.995162539254818,1.07376722528829,1.15640750111446,1.28252719212344,1.32534763745693
43,50,1.08394139185683,0.118267701835232,0.864594105158373,0.897015763918332,1.00200159301947,1.07964308479489,1.16119681055584,1.28552982416746,1.32771191098206
44,51,1.01406096300594,0.112673440333993,0.805310779871687,0.836114960582584,0.935962290493484,1.00989093941399,1.08761510888202,1.20623218922499,1.24650533106199
45,52,0.924482799411551,0.106750078620288,0.72716436724594,0.756176239831037,0.850418529209166,0.920377249260314,0.994072911771592,1.10679471588639,1.1451287825199
46,53,1.03292796088458,0.112701680194999,0.823903794746886,0.854799596054051,0.954844487032383,1.02883194464043,1.10654751513681,1.22502905591504,1.26522593117655
47,54,1.06434908508635,0.115444867153324,0.850164246051857,0.881839697617192,0.984376517159908,1.06017808953792,1.13977600434987,1.26108696914295,1.30223380742059
48,55,1.03318689158552,0.114096405158316,0.821724196184549,0.852946232408757,0.954113838373175,1.02898999359141,1.10768611384064,1.22774444017718,1.2684965187971
49,56,1.07696141426636,0.115462383177161,0.862601944042213,0.894336061221838,0.996999108670746,1.07283794771312,1.15242984052619,1.2736531087504,1.3147507856044
50,57,1.13557999852677,0.117754160397431,0.916559618514868,0.949077708126822,1.0540948428039,1.13151242301458,1.21263210856557,1.33595791645717,1.37771292036365
51,58,1.10744857750273,0.115459495618161,0.892759857390311,0.924620111499248,1.02754121377619,1.10343867746043,1.18298576526839,1.3039559323107,1.34492208528033
52,59,1.1086846027519,0.113748640171357,0.896992050341701,0.928450482280139,1.02999069985748,1.10479691725912,1.183141490252,1.30218068047113,1.34246760008347
53,60,1.23138446417585,0.117945240700059,1.01109477624162,1.04401335761442,1.14991337116889,1.2276208165856,1.30875359351269,1.4315943108134,1.47306016232345
54,61,1.1200191194702,0.110898417923032,0.91324174079049,0.944059935756235,1.04335924424459,1.11636106036094,1.19269217048803,1.30845689537044,1.34758236089576
55,62,1.11983264621555,0.108258308072114,0.917729878139437,0.947908865680699,1.04503762948817,1.11634600965094,1.19082762641743,1.30365022374487,1.34174733360438
56,63,1.07244496925434,0.103677168427163,0.878894533277961,0.907796444179732,1.00081503447288,1.06910587581393,1.14043567270198,1.24848398450189,1.28496894852757
57,64,0.996816762731428,0.0986995668416486,0.81278494252545,0.840213129067043,0.928589491138127,0.993561090952451,1.06149576168252,1.16452634061617,1.19934799607484
