"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2,9,0.871138294029856,0.251475964279764,0.450129868518022,0.502662223048726,0.691003320482696,0.84706316427202,1.02508113561168,1.32177190858804,1.42881478779232
3,10,0.957332403033599,0.247182163582257,0.53581167872616,0.590120785877973,0.781106898877973,0.936144451577168,1.11049737102666,1.39684281019533,1.49915836232771
4,11,1.03379318070685,0.258448295176711,0.590902125970665,0.648443976980873,0.849781439603795,1.0123374199194,1.19445052478003,1.49235345249582,1.59851684740855
5,12,1.0300602600619,0.265960415520656,0.576516908216992,0.634951839343587,0.8404470305662,1.00726267510789,1.19486106097845,1.50295995808355,1.61304834943424
6,13,1.18140143298303,0.28653193496736,0.688209870718015,0.7527709493634,0.977647201556232,1.15831918980715,1.36002859921737,1.68879136629674,1.80566768205607
7,14,1.10371202909387,0.275928007273468,0.63086678904676,0.692300385554786,0.907254965978907,1.08080514431614,1.27523516014665,1.59328624711298,1.70662982317963
8,15,0.942587672491605,0.251917151961448,0.515321451753658,0.569857369226819,0.762726986745506,0.920242594824645,1.09813127172595,1.39156702991492,1.4967212247903
9,16,0.925144572179619,0.247255287309264,0.505785146497196,0.559311846995796,0.748612306775957,0.903213002393781,1.07780975205467,1.36581532107972,1.46902358007776
10,17,1.08332334860334,0.270830837150836,0.619212896496075,0.679511640852843,0.890495402671461,1.06083961872694,1.25167796266656,1.56385374718,1.67510354706485
11,18,1.12946005876078,0.282365014690195,0.645584012717484,0.708450767534687,0.928419932169094,1.10601878898652,1.30498458016765,1.63045534600576,1.74644306627143
12,19,1.34461951399493,0.308476872579826,0.809548783942192,0.880510089953083,1.12574961495907,1.32110469219583,1.53788758487238,1.8889618538891,2.0132322939562
13,20,1.43851716660564,0.313910181164941,0.890464798808677,0.963945198542306,1.21622893162418,1.41574911878445,1.63601360681487,1.99077204753243,2.11587913626666
14,21,1.27666716799477,0.285471457227844,0.779821473092512,0.84608892594092,1.07432483482988,1.25545358268552,1.45591167305264,1.77962549581679,1.89399023006118
15,22,1.27618445914629,0.272083440891886,0.799778006154239,0.863961711994826,1.08368743220458,1.25690128237457,1.44768321452606,1.75419926208562,1.86211153141702
16,23,1.19037194458415,0.253788151314962,0.745999760143079,0.805867659477308,1.0108187000316,1.17238539689741,1.35033887214864,1.6362443311634,1.73690042125122
17,24,1.28504630053613,0.257009260107226,0.831614210244164,0.893473460335817,1.10365131877034,1.26795355874362,1.447825812021,1.7349360384979,1.83556515218547
18,25,1.32657427670849,0.255299338585893,0.874220807329515,0.936370266798084,1.14663985000564,1.31023324908769,1.48871064184748,1.77252963979555,1.87174835531632
19,26,1.29735030175943,0.245176161556433,0.862079853783979,0.922074991873208,1.12466382647103,1.28193876986745,1.45325055361595,1.72520540749285,1.82016312640795
20,27,1.11754230729556,0.219168078160215,0.730015738200433,0.783076793198408,0.962966941627748,1.10324795701571,1.25654931408378,1.50077679980053,1.58626240460936
21,28,0.965193756005901,0.197019350427902,0.618417851661137,0.665542868140417,0.826033462928617,0.951821892345996,1.08979152268234,1.31046706707977,1.38792018390765
22,29,1.01803991618681,0.199654053778959,0.665017472789125,0.713354141235839,0.877227446464904,1.00501828911655,1.14467018388784,1.36715243576006,1.44502667585515
23,30,1.1534186256481,0.214184461749434,0.772462555807739,0.82513091563413,1.00265505667329,1.14018837339305,1.2897713910032,1.52684393442318,1.609527916548
24,31,1.20668980611589,0.22031040890707,0.814148544950819,0.868574486889768,1.05170692324226,1.19330894908452,1.34709743862187,1.59045627102183,1.67524091912401
25,32,1.24899237528091,0.220792744552856,0.854309860097612,0.909323146136395,1.09384428450212,1.23600640685929,1.38999464376139,1.63296504167657,1.71744357345231
26,33,1.22150918771475,0.212637456125732,0.840830719584608,0.89402216611517,1.07217041217727,1.20919311345937,1.35743156202021,1.59101400394714,1.67215176560581
27,34,1.25872667124121,0.209787778540202,0.881596685797635,0.934645338995543,1.11160454765846,1.24709117465743,1.39317300609584,1.62250340615255,1.70195675730188
28,35,1.42473862465253,0.217270603357153,1.03109040711045,1.08716301177585,1.27280381869199,1.41370948932843,1.56465691409032,1.79994011170315,1.88104591885388
29,36,1.52600194248834,0.218000277498334,1.12894463781282,1.18598057109421,1.37386039420862,1.51563362505316,1.66684618259251,1.90139428783097,1.98196622114075
30,37,1.49809017464151,0.205778511234748,1.12217234179952,1.17642847413808,1.35464370541857,1.48867883121888,1.63128167645152,1.85185792616366,1.92747904819204
31,38,1.34946147660856,0.183638446957429,1.01375699396769,1.06226236184075,1.22148321222955,1.3411406706949,1.46837299023848,1.66504630889284,1.73244126585376
32,39,1.29130519817985,0.169556679306213,0.980542175621872,1.02562764655878,1.17326045086043,1.28389153415747,1.40127141412597,1.58227366308719,1.64419021966909
33,40,1.32867098915652,0.164801353496409,1.02544021871783,1.06970515599621,1.21411614673049,1.32186353863111,1.43580755149321,1.61085948043516,1.67058037243815
34,41,1.33631022524746,0.159719621216185,1.04171937820271,1.08488667167284,1.22539663148112,1.32995225834329,1.44029517322019,1.60942296341639,1.66702631409229
35,42,1.34413719076863,0.15418311002145,1.0590272262212,1.10097380274596,1.23718136944652,1.33824647107479,1.4446733804355,1.60739570700185,1.66271803415086
36,43,1.18738117027835,0.138972454328462,0.930717294418767,0.968405285327479,1.09092739166334,1.18196376177245,1.27793120172352,1.42483761944303,1.47482637348661
